LinINum,LinFMan,LinFecIni,LinFecFin,LinIBlo,LinFManTip,LinNom,LinBarA,LinBarB,LinFOpe,LinPotMaxA->B,LinPotMaxB->A,LinFMax,LinFN-1,LinPotN-1A->B,LinPotN-1B->A,LinVolt,LinR,LinX,LinDisEne,LinVI,LinCOMA,LinFCC
634,F,MesAbr-2025,MesSep-2025,14,F,Rio Tolten Aux N 220->Rio Tolten 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
635,F,MesAbr-2025,MesSep-2025,15,F,Rio Tolten Aux N 220->Rio Tolten 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
636,F,MesAbr-2025,MesSep-2025,16,F,Rio Tolten Aux N 220->Rio Tolten 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
637,F,MesAbr-2025,MesSep-2025,22,F,Rio Tolten Aux N 220->Rio Tolten 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
638,F,MesAbr-2025,MesSep-2025,23,F,Rio Tolten Aux N 220->Rio Tolten 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
639,F,MesAbr-2025,MesSep-2025,24,F,Rio Tolten Aux N 220->Rio Tolten 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
640,T,MesAbr-2029,MesMay-2029,*,F,Cautin 220->Cautin Aux S 220 I,*,*,*,*,*,*,*,50,50,*,*,*,*,*,*,*
641,T,MesJun-2029,MesJun-2029,*,F,Cautin 220->Cautin Aux S 220 I,*,*,*,*,*,*,*,247.3333333,247.3333333,*,*,*,*,*,*,*
642,T,MesMay-2028,MesJun-2028,*,F,Ciruelos Aux 220->Ciruelos 220 I,*,*,*,*,*,*,*,50,50,*,*,*,*,*,*,*
643,F,MesAbr-2026,MesJun-2026,1,F,Rio Tolten 220->Rio Tolten Aux S 220,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
644,F,MesAbr-2026,MesJun-2026,2,F,Rio Tolten 220->Rio Tolten Aux S 220,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
645,F,MesAbr-2026,MesJun-2026,3,F,Rio Tolten 220->Rio Tolten Aux S 220,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
