LinINum,LinFMan,LinFecIni,LinFecFin,LinIBlo,LinFManTip,LinNom,LinBarA,LinBarB,LinFOpe,LinPotMaxA->B,LinPotMaxB->A,LinFMax,LinFN-1,LinPotN-1A->B,LinPotN-1B->A,LinVolt,LinR,LinX,LinDisEne,LinVI,LinCOMA,LinFCC
514,F,MesAbr-2025,MesSep-2025,1,F,Metrenco 220->Metrenco Aux 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
515,F,MesAbr-2025,MesSep-2025,2,F,Metrenco 220->Metrenco Aux 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
516,F,MesAbr-2025,MesSep-2025,3,F,Metrenco 220->Metrenco Aux 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
517,F,MesAbr-2025,MesSep-2025,4,F,Metrenco 220->Metrenco Aux 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
518,F,MesAbr-2025,MesSep-2025,10,F,Metrenco 220->Metrenco Aux 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
519,F,MesAbr-2025,MesSep-2025,11,F,Metrenco 220->Metrenco Aux 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
520,F,MesAbr-2025,MesSep-2025,12,F,Metrenco 220->Metrenco Aux 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
521,F,MesAbr-2025,MesSep-2025,13,F,Metrenco 220->Metrenco Aux 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
522,F,MesAbr-2025,MesSep-2025,14,F,Metrenco 220->Metrenco Aux 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
523,F,MesAbr-2025,MesSep-2025,15,F,Metrenco 220->Metrenco Aux 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
524,F,MesAbr-2025,MesSep-2025,16,F,Metrenco 220->Metrenco Aux 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
525,F,MesAbr-2025,MesSep-2025,22,F,Metrenco 220->Metrenco Aux 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
526,F,MesAbr-2025,MesSep-2025,23,F,Metrenco 220->Metrenco Aux 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
527,F,MesAbr-2025,MesSep-2025,24,F,Metrenco 220->Metrenco Aux 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
528,F,MesAbr-2026,MesSep-2026,1,F,Metrenco 220->Metrenco Aux 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
