LinINum,LinNom,LinFOpe,LinFecOpeIni,LinFecOpeFin,LinBarA,LinBarB,LinBarSis,LinFPrtFlu,LinFPrtHis,LinNIntHis,LinFPrtInd,LinFCC,LinPotMaxA->B,LinPotMaxB->A,LinFMax,LinFPri,LinFN-1,LinPotN-1A->B,LinPotN-1B->A,LinVolt,LinR,LinX,LinFPer,LinNTra,LinDisEne,LinFPeaCal,LinPeaSis,LinPeaTip,LinFTipDef,LinFInv,LinFecInv,LinVI,LinCOMA,LinVidUti,LinEmp,LinAux
100001,SUEZ_Los Changos 220->Kapatur 220 I,T,MesNov-2017,*,Los Changos 220,Kapatur 220,BarA,T,T,101,T,F,1500,1500,T,T,T,750,750,220,0.035,0.6,T,5,1,T,TxT,Lat,F,F,*,600,13,30,CNE,2.5
100002,SUEZ_Los Changos 220->Kapatur 220 II,T,MesNov-2017,*,Los Changos 220,Kapatur 220,BarA,T,T,101,T,F,1500,1500,T,T,T,750,750,220,0.035,0.6,T,5,1,T,TxT,Lat,F,F,*,600,13,30,CNE,2.5
100003,Los Changos 500->Kimal 500 I,T,MesDic-2020,MesAbr-2029,Los Changos 500,Kimal 500,BarA,T,T,101,T,F,1500,1500,T,T,T,750,750,500,3.4224,36.5286,T,5,1,T,TxT,Lat,F,F,*,600,13,30,CNE,138
100004,Los Changos 500->Kimal 500 II,T,MesDic-2020,MesAbr-2029,Los Changos 500,Kimal 500,BarA,T,T,101,T,F,1500,1500,T,T,T,750,750,500,3.4224,36.5286,T,5,1,T,TxT,Lat,F,F,*,600,13,30,CNE,138
100005,Los Changos 500->Kimal 500 III,T,MesMay-2029,*,Los Changos 500,Kimal 500,BarA,T,T,101,T,F,1500,1500,T,T,T,900,900,500,3.4224,36.5286,T,5,1,T,TxT,Lat,F,F,*,600,13,30,CNE,138
100006,Los Changos 500->Kimal 500 IV,T,MesMay-2029,*,Los Changos 500,Kimal 500,BarA,T,T,101,T,F,1500,1500,T,T,T,900,900,500,3.4224,36.5286,T,5,1,T,TxT,Lat,F,F,*,600,13,30,CNE,138
200001,Chapiquiña 066->El Aguila 066,T,*,*,Chapiquiña 066,El Aguila 066,*,T,T,101,T,F,20.58,20.58,F,F,T,20.58,20.58,66,8.7838,15.4105,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,37
200002,El Aguila 066->Arica 066,T,*,MesMar-2026,El Aguila 066,Arica 066,BarB,T,T,101,T,F,20.58,20.58,F,F,T,20.58,20.58,66,11.1578,19.5755,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,47
200003,Arica Diesel 066->Tap Quiani 066,T,*,*,Arica Diesel 066,Tap Quiani 066,BarB,T,T,101,T,F,16.46,16.46,F,F,T,16.46,16.46,66,0.95648,1.35648,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,3.2
200004,Pozo Almonte 220->Pozo Almonte CMCC 110,T,*,*,Pozo Almonte 220,Pozo Almonte CMCC 110,BarB,T,T,101,T,F,100,100,F,F,T,100,100,220,0,64.250998,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,220/115
200005,Pozo Almonte CMCC 110->Cerro Colorado 110,T,*,*,Pozo Almonte CMCC 110,Cerro Colorado 110,*,T,T,101,T,F,57.16,57.16,F,F,T,57.16,57.16,110,6.0878,24.3451,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,61
200006,Iquique 066->Pozo Almonte 066 I,T,*,*,Iquique 066,Pozo Almonte 066,*,T,T,101,T,F,18.29,18.29,F,F,T,18.29,18.29,66,13.1061606,18.86572087,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,43.600.002
200007,Iquique 066->Pozo Almonte 066 II,T,*,*,Iquique 066,Pozo Almonte 066,*,T,T,101,T,F,29.72,29.72,F,F,T,29.72,29.72,66,9.2272,16.01725,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,39.5
200008,Iquique Diesel 066->Iquique 066,T,*,*,Iquique Diesel 066,Iquique 066,BarB,T,T,101,T,F,41.15,41.15,F,F,T,41.15,41.15,66,0.37984,0.652,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,1.6
200009,Tarapaca Aux 220->Lagunas 220 I,T,*,MesJul-2020,Tarapaca Aux 220,Lagunas 220,*,T,T,101,T,F,182.9,182.9,T,F,T,182.9,182.9,220,2.7328,21.812,T,2,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,56
200010,Tarapaca Aux 220->Lagunas 220 II,T,*,MesJul-2020,Tarapaca Aux 220,Lagunas 220,*,T,T,101,T,F,182.9,182.9,T,F,T,182.9,182.9,220,2.7328,21.812,T,2,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,56
200011,Lagunas Aux 4 220->Collahuasi 220 I,T,*,*,Lagunas Aux 4 220,Collahuasi 220,*,T,T,101,T,F,109,109,F,F,T,109,109,220,9.44,47.4832,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,118
200012,Lagunas Aux 4 220->Collahuasi 220 II,T,*,*,Lagunas Aux 4 220,Collahuasi 220,*,T,T,101,T,F,109,109,F,F,T,109,109,220,9.3574,46.6218,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,118
200013,Collahuasi 220->Quebrada Blanca 220,T,*,MesDic-2020,Collahuasi 220,Quebrada Blanca 220,BarA,T,T,101,T,F,57.16,57.16,F,F,T,57.16,57.16,220,1.50246,9.747,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,18
200014,Encuentro Aux 2 220->Collahuasi 2 220 I,T,*,*,Encuentro Aux 2 220,Collahuasi 2 220,*,T,T,101,T,F,133.4,133.4,F,F,T,133.4,133.4,220,18.02619536,82.27598663,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,201.410.004
200015,(Ei) Encuentro 220->Collahuasi 2 220 II,T,*,*,(Ei) Encuentro 220,Collahuasi 2 220,*,T,T,101,T,F,170.7109276,170.7109276,F,F,T,170.7109276,170.7109276,220,2.89168,20.07312,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,49.6
200016,Encuentro Aux 2 220->(Ei) Encuentro 220 II,T,*,*,Encuentro Aux 2 220,(Ei) Encuentro 220,*,T,T,101,T,F,170.7109276,170.7109276,F,F,T,170.7109276,170.7109276,220,15.09936,61.36768,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,151.6
200017,Crucero Aux 220->Maria Elena 220 I,T,*,MesAgo-2020,Crucero Aux 220,Maria Elena 220,*,T,T,101,T,F,182.9,182.9,T,F,T,182.9,182.9,220,0.625605,2.895258,T,2,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,6.99
200018,Maria Elena 220->Maria Elena Aux 220,T,*,MesJul-2025,Maria Elena 220,Maria Elena Aux 220,*,T,T,101,T,F,500,365.8,T,T,T,250,182.9,220,0,0.0001,T,1,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,Mod_Aux
200019,Maria Elena Aux 220->Frontera 220 I,T,*,MesAgo-2019,Maria Elena Aux 220,Frontera 220,*,T,T,101,T,F,250,182.9,T,F,T,250,182.9,220,6.033195358,27.92122366,T,2,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,Mod_67.410004
200020,Frontera 220->Lagunas 220,T,*,MesAgo-2019,Frontera 220,Lagunas 220,*,T,T,101,T,F,182.9,182.9,T,F,T,182.9,182.9,220,8.8426,40.92296,T,2,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,98.8
200021,Nueva Victoria 220->Lagunas Aux 3 220,T,*,MesEne-2026,Nueva Victoria 220,Lagunas Aux 3 220,*,T,T,101,T,F,250,182.9,T,F,T,250,182.9,220,1.6200001,6.748920417,T,2,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,Mod_16.200001. Res Proy Nov.24
200022,Crucero Aux 220->Nueva Victoria 220,T,*,MesFeb-2019,Crucero Aux 220,Nueva Victoria 220,*,T,T,101,T,F,182.9,182.9,T,F,T,182.9,182.9,220,14.12310027,65.36076124,T,2,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,157.800.003
200023,Crucero Aux 220->Maria Elena 220 II,T,MesMar-2019,MesAgo-2020,Crucero Aux 220,Maria Elena 220,*,T,T,101,T,F,182.9,182.9,T,F,T,182.9,182.9,220,0.625605,2.895258,T,2,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,6.99
200024,Nueva Victoria 220->Nueva Victoria 066,T,*,*,Nueva Victoria 220,Nueva Victoria 066,BarB,T,T,101,T,F,40,40,F,F,T,40,40,220,0,171.497336,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,220/66
200025,Nueva Victoria 066->Llamara 066,T,*,*,Nueva Victoria 066,Llamara 066,*,T,T,101,T,F,42.4,42.4,F,F,T,42.4,42.4,66,7.20892,10.27981,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,22.9
200026,Nueva Victoria 066->Sur Viejo 066,T,*,*,Nueva Victoria 066,Sur Viejo 066,*,T,T,101,T,F,42.4,42.4,F,F,T,42.4,42.4,66,5.09976,7.27218,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,16.2
200027,Crucero 220->El Abra 220,T,*,MesMay-2017,Crucero 220,El Abra 220,BarA,T,T,101,T,F,182.9,182.9,F,F,T,182.9,182.9,220,6.019,40.916,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,101
200028,La Cruz 220->Crucero 220 I,T,*,*,La Cruz 220,Crucero 220,BarB,T,T,101,T,F,304.84,304.84,F,F,T,304.84,304.84,220,0.5784,4.6404,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,12
200029,La Cruz 220->Crucero 220 II,T,*,*,La Cruz 220,Crucero 220,BarB,T,T,101,T,F,304.84,304.84,F,F,T,304.84,304.84,220,0.5784,4.6404,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,12
200030,Barriles 220->La Cruz 220 I,T,*,*,Barriles 220,La Cruz 220,*,T,T,101,T,F,304.84,304.84,F,F,T,304.84,304.84,220,2.0485,16.43475,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,42.5
200031,Barriles 220->La Cruz 220 II,T,*,*,Barriles 220,La Cruz 220,*,T,T,101,T,F,304.84,304.84,F,F,T,304.84,304.84,220,2.0485,16.43475,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,42.5
200032,Norgener 220->Barriles 220 I,T,*,*,Norgener 220,Barriles 220,*,T,T,101,T,F,304.84,304.84,F,F,T,304.84,304.84,220,0.8435,6.76725,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,17.5
200033,Norgener 220->Barriles 220 II,T,*,*,Norgener 220,Barriles 220,*,T,T,101,T,F,304.84,304.84,F,F,T,304.84,304.84,220,0.8435,6.76725,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,17.5
200034,La Cruz 220->La Cruz 066,T,*,*,La Cruz 220,La Cruz 066,*,T,T,101,T,F,10,10,F,F,T,10,10,220,3.947485,94.659476,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,220/66
200035,Barriles 220->Barriles 110,T,*,*,Barriles 220,Barriles 110,*,T,T,101,T,F,30,30,F,F,T,30,30,220,10.8416,193.296208,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,220/110
200036,Barriles 110->Mantos de la Luna 110,T,*,*,Barriles 110,Mantos de la Luna 110,*,T,T,101,T,F,57.16,57.16,F,F,T,57.16,57.16,110,0.246,0.728,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,27
200037,Crucero 220->Radomiro Tomic 220,T,*,MesJun-2022,Crucero 220,Radomiro Tomic 220,BarA,T,T,101,T,F,139.85,139.85,F,F,T,139.85,139.85,220,4.88884,33.3084,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,82
200038,Crucero 220->(Ei) Chuquicamata Aux N 220,T,*,MesAgo-2020,Crucero 220,(Ei) Chuquicamata Aux N 220,*,T,T,101,T,F,442.0193661,442.0193661,T,F,T,274.3568479,274.3568479,220,0.36381103,2.85107146,T,2,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,6.907
200039,(Ei) Chuquicamata Aux N 220->Chuquicamata Aux N 220,T,*,MesAgo-2020,(Ei) Chuquicamata Aux N 220,Chuquicamata Aux N 220,*,T,T,101,T,F,442.0193661,442.0193661,T,F,T,274.3568479,274.3568479,220,3.79073748,30.30094146,T,2,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,73.407
200040,Salar 220->(Ei I) Chuquicamata Aux S 220,T,*,*,Salar 220,(Ei I) Chuquicamata Aux S 220,*,T,T,101,T,F,442.0193661,442.0193661,T,F,T,365.8091306,365.8091306,220,0.011352,0.090794,T,2,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,0.22
200041,(Ei I) Chuquicamata Aux S 220->Chuquicamata Aux S 220,T,*,*,(Ei I) Chuquicamata Aux S 220,Chuquicamata Aux S 220,*,T,T,101,T,F,442.0193661,442.0193661,T,F,T,365.8091306,365.8091306,220,0.14934,1.50822,T,2,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,3.8
200042,Crucero 220->(Ei) Salar Aux 1 220,T,*,MesAgo-2020,Crucero 220,(Ei) Salar Aux 1 220,*,T,T,101,T,F,442.0193661,442.0193661,T,F,T,365.8091306,365.8091306,220,0.44376,3.54922,T,2,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,8.6
200043,(Ei) Salar Aux 1 220->Salar Aux 1 220,T,*,MesAgo-2020,(Ei) Salar Aux 1 220,Salar Aux 1 220,*,T,T,101,T,F,442.0193661,442.0193661,T,F,T,365.8091306,365.8091306,220,3.3858,27.2283,T,2,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,66
200044,Salar 220->Salar 110,T,*,*,Salar 220,Salar 110,BarB,T,T,101,T,F,120,120,F,F,T,120,120,220,0,50.858216,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,220/100
200045,Tap El Loa 220->Crucero 220 I,T,*,MesAgo-2020,Tap El Loa 220,Crucero 220,BarB,T,T,101,T,F,365.81,365.81,F,F,T,365.81,365.81,220,0.56064,4.0176,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,9.6
200046,Tap El Loa 220->Crucero 220 II,T,*,MesAgo-2020,Tap El Loa 220,Crucero 220,BarB,T,T,101,T,F,365.81,365.81,F,F,T,365.81,365.81,220,0.56064,4.0176,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,9.6
200047,Tocopilla 220->Tap El Loa 220 I,T,*,*,Tocopilla 220,Tap El Loa 220,*,T,T,101,T,F,365.81,365.81,F,F,T,365.81,365.81,220,3.609119942,25.86329958,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,61.799.999
200048,Tocopilla 220->Tap El Loa 220 II,T,*,*,Tocopilla 220,Tap El Loa 220,*,T,T,101,T,F,365.81,365.81,F,F,T,365.81,365.81,220,3.609119942,25.86329958,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,61.799.999
200049,Tap El Loa 220->El Loa 220,T,*,*,Tap El Loa 220,El Loa 220,*,T,T,101,T,F,327.7,327.7,F,F,T,327.7,327.7,220,0.83748,3.49356,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,8.4
200050,Tocopilla Booster 110->Tocopilla 220 I,T,*,*,Tocopilla Booster 110,Tocopilla 220,*,T,T,101,T,F,100,100,F,F,T,100,100,220,1.16,69.250662,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,220/110
200051,Tocopilla Booster 110->Tocopilla 220 II,T,*,*,Tocopilla Booster 110,Tocopilla 220,*,T,T,101,T,F,100,100,F,F,T,100,100,220,1.16,69.250662,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,220/110
200052,Tocopilla 110->Tocopilla Booster 110 I,T,*,*,Tocopilla 110,Tocopilla Booster 110,*,T,T,101,T,T,100,100,T,F,T,100,100,110,0.16,1.345319,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,110/111.4
200053,Tocopilla 110->Tocopilla Booster 110 II,T,*,*,Tocopilla 110,Tocopilla Booster 110,*,T,T,101,T,T,100,100,T,F,T,100,100,110,0.16,1.345319,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,110/111.4
200054,Tocopilla 110->(Ei) SE A 110 I,T,*,*,Tocopilla 110,(Ei) SE A 110,BarB,T,T,101,T,F,79.35200249,79.35200249,F,F,T,79.35200249,79.35200249,110,2.208184,4.425476,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,10.12
200055,(Ei) SE A 110->SE A 110 I,T,*,*,(Ei) SE A 110,SE A 110,BarB,T,T,101,T,F,134.8235277,134.8235277,F,F,T,134.8235277,134.8235277,110,14.214372,55.036186,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,136.94
200056,Tocopilla 110->SE A 110 II,T,*,*,Tocopilla 110,SE A 110,BarB,T,T,101,T,F,93.35753853,93.35753853,F,F,T,93.35753853,93.35753853,110,15.985069,56.018912,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,143.23
200057,Tocopilla 110->Tamaya 110 I,T,*,*,Tocopilla 110,Tamaya 110,*,T,T,101,T,F,93.35753853,93.35753853,F,F,T,93.35753853,93.35753853,110,1.66376,5.64886,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,14
200058,Tocopilla 110->(Ei) Tamaya 110 II,T,*,*,Tocopilla 110,(Ei) Tamaya 110,*,T,T,101,T,F,79.35200249,79.35200249,F,F,T,79.35200249,79.35200249,110,0.596107871,2.195283653,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,5.67
200059,(Ei) Tamaya 110->Tamaya 110 II,T,*,*,(Ei) Tamaya 110,Tamaya 110,*,T,T,101,T,F,134.8235277,134.8235277,F,F,T,134.8235277,134.8235277,110,1.051336634,3.871752475,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,10
200060,Tamaya 110->Salar 110,T,*,*,Tamaya 110,Salar 110,BarB,T,T,101,T,F,64.97,64.97,F,F,T,64.97,64.97,110,15.663,48.6036,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,138
200061,Tamaya 110->SE A 110,T,*,*,Tamaya 110,SE A 110,BarB,T,T,101,T,F,64.97,64.97,F,F,T,64.97,64.97,110,14.92630376,50.67834319,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,125.599.998
200062,Salar 110->SE KM6 110 I,T,*,*,Salar 110,SE KM6 110,*,T,T,101,T,F,103.92,103.92,F,F,T,103.92,103.92,110,0.2497,0.66308,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,2.2
200063,Salar 110->SE KM6 110 II,T,*,*,Salar 110,SE KM6 110,*,T,T,101,T,F,103.92,103.92,F,F,T,103.92,103.92,110,0.24992,0.66308,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,2.2
200064,SE A 110->Chuquicamata 110 I,T,*,*,SE A 110,Chuquicamata 110,*,T,T,101,T,F,83.14,83.14,F,F,T,83.14,83.14,110,0.00104,0.002,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,0.8
200065,SE A 110->Chuquicamata 110 II,T,*,*,SE A 110,Chuquicamata 110,*,T,T,101,T,F,83.14,83.14,F,F,T,83.14,83.14,110,0.00104,0.002,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,0.8
200066,SE KM6 110->Chuquicamata 110,T,*,*,SE KM6 110,Chuquicamata 110,*,T,T,101,T,F,103.92,103.92,F,F,T,103.92,103.92,110,0.5698,2.3903,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,11
200067,SE KM6 110->SE 10A 110,T,*,*,SE KM6 110,SE 10A 110,*,T,T,101,T,F,103.92,103.92,F,F,T,103.92,103.92,110,0.269928,1.110072,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,5.52
200068,SE KM6 110->Sopladores 110,T,*,*,SE KM6 110,Sopladores 110,*,T,T,101,T,F,69.28,69.28,F,F,T,69.28,69.28,110,0.4,1.09,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,2
200069,SE 10A 110->SE 10 110,T,*,*,SE 10A 110,SE 10 110,*,T,T,101,T,F,103.92,103.92,F,F,T,103.92,103.92,110,0.0005,0.001,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,0.2
200070,Chuquicamata 110->SE 10A 110,T,*,*,Chuquicamata 110,SE 10A 110,*,T,T,101,T,F,103.92,103.92,F,F,T,103.92,103.92,110,0.30992,1.29034,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,7.45
200071,Chuquicamata 110->Chamy 110,T,*,*,Chuquicamata 110,Chamy 110,*,T,T,101,T,F,62.35,62.35,F,F,T,62.35,62.35,110,1.32,4.5096,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,12
200072,Chuquicamata 110->SE K1 110,T,*,*,Chuquicamata 110,SE K1 110,*,T,T,101,T,F,103.92,103.92,F,F,T,103.92,103.92,110,0.27027,0.93015,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,5.85
200073,SE 10 110->SE K1 110,T,*,*,SE 10 110,SE K1 110,*,T,T,101,T,F,103.92,103.92,F,F,T,103.92,103.92,110,0.19994,0.39806,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,1.3
200074,Chuquicamata 220->Chuquicamata 110 I,T,*,*,Chuquicamata 220,Chuquicamata 110,BarB,T,T,101,T,F,120,120,F,F,T,120,120,220,0.7,60.092636,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,220/100
200075,Chuquicamata 220->Chuquicamata 110 II,T,*,*,Chuquicamata 220,Chuquicamata 110,BarB,T,T,101,T,F,120,120,F,F,T,120,120,220,0.7,60.092636,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,220/100
200076,Laberinto Aux 220->Laberinto 220,T,*,*,Laberinto Aux 220,Laberinto 220,*,T,T,101,T,F,586.06,586.06,T,T,T,293.03,293.03,220,0,0.0001,T,1,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,Aux
200077,Crucero 220->Laberinto Aux 220 I,T,*,MesAgo-2020,Crucero 220,Laberinto Aux 220,*,T,T,101,T,F,293.03,293.03,T,F,T,293.03,293.03,220,10.64253976,54.53969877,T,2,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,132.699.997
200078,Crucero 220->Laberinto Aux 220 II,T,*,MesAgo-2020,Crucero 220,Laberinto Aux 220,*,T,T,101,T,F,304.84,304.84,T,F,T,304.84,304.84,220,9.6425,53.2532,T,2,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,133
200079,Laberinto 220->Lomas Bayas 220,T,*,*,Laberinto 220,Lomas Bayas 220,BarA,T,T,101,T,F,272.1,272.1,F,F,T,272.1,272.1,220,0.904,4.164,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,10
200080,Lomas Bayas 220->Fortuna 220,T,*,*,Lomas Bayas 220,Fortuna 220,*,T,T,101,T,F,187.8582,187.8582,F,F,T,187.8582,187.8582,220,0.6099975,2.7699966,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,6.3
200081,Laberinto Aux 2 220->El Cobre 220,T,*,*,Laberinto Aux 2 220,El Cobre 220,*,T,T,101,T,F,254,254,T,F,T,254,254,220,0.189,1.03626,T,2,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,Mod_2.7
200082,El Cobre 220->Gaby 220,T,*,*,El Cobre 220,Gaby 220,BarA,T,T,101,T,F,73.16,73.16,F,F,T,73.16,73.16,220,5.7,23.6949,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,57
200083,El Cobre Aux 220->Esperanza 220 I,T,*,MesEne-2024,El Cobre Aux 220,Esperanza 220 SING,*,T,T,101,T,F,150,150,T,F,T,150,150,220,7.276350269,34.21917126,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,81.300.003
200084,El Cobre Aux 220->Esperanza 220 II,T,*,MesEne-2024,El Cobre Aux 220,Esperanza 220 SING,*,T,T,101,T,F,150,150,T,F,T,150,150,220,7.276350269,34.21917126,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,81.300.003
200085,Esperanza Aux 220->El Tesoro 220 I,T,*,MesAbr-2018,Esperanza Aux 220 SING,El Tesoro 220,*,T,T,101,T,F,85.36,85.36,T,F,T,85.36,85.36,220,1.25,5.1875,T,2,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,12.5
200086,Laberinto 220->Oeste 220,T,*,*,Laberinto 220,Oeste 220,BarA,T,T,101,T,F,272.07,272.07,F,F,T,272.07,272.07,220,8.449,34.9775,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,85
200087,Oeste 220->Oeste 110,T,*,*,Oeste 220,Oeste 110,*,T,T,101,T,F,55,55,F,F,T,55,55,220,2.69,131.088039,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,220/110
200088,Oeste 110->Minsal 110,T,*,*,Oeste 110,Minsal 110,*,T,T,101,T,F,41.15,41.15,F,F,T,41.15,41.15,110,6.9894,13.959,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,33
200089,Andes 220->Oeste 220,T,*,*,Andes 220,Oeste 220,BarB,T,T,101,T,F,274.36,274.36,F,F,T,274.36,274.36,220,3.772230099,15.61642541,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,37.950.001
200090,Andes 220->Nueva Zaldivar 220 I,T,*,MesDic-2024,Andes 220,Nueva Zaldivar 220,*,T,T,101,T,F,304.84,304.84,F,F,T,304.84,304.84,220,3.44352,24.969951,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,63.3
200091,Andes 220->Nueva Zaldivar 220 II,T,*,MesDic-2024,Andes 220,Nueva Zaldivar 220,*,T,T,101,T,F,228.63,228.63,F,F,T,228.63,228.63,220,3.44352,24.969951,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,63.3
200092,Andes 345->Andes 220 I,T,*,*,Andes 345,Andes 220,BarB,T,T,101,T,F,250,250,F,F,T,250,250,345,0.52,50.463886,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,345/220
200093,Andes 345->Andes 220 II,T,*,*,Andes 345,Andes 220,BarB,T,T,101,T,F,250,250,F,F,T,250,250,345,0.52,50.463886,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,345/220
200094,Andes 345->Andes 220 III,T,*,*,Andes 345,Andes 220,BarB,T,T,101,T,F,250,250,F,F,T,250,250,345,0.52,50.463886,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,345/220
200095,Salta 345->Andes 345,T,*,*,Salta 345,Andes 345,*,T,T,101,T,F,717.07,717.07,F,F,T,717.07,717.07,345,12.6888,133.1712,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,408
200096,Laberinto 220->Nueva Zaldivar 220 I,T,*,*,Laberinto 220,Nueva Zaldivar 220,BarA,T,T,101,T,F,293.03,293.03,T,F,T,293.03,293.03,220,6.5334145,37.1788606,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,89.93
200097,Laberinto 220->Nueva Zaldivar 220 II,T,*,*,Laberinto 220,Nueva Zaldivar 220,BarA,T,T,101,T,F,377.24,377.24,T,F,T,377.24,377.24,220,6.5334145,37.1788606,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,89.93
