LinINum,LinNom,LinFOpe,LinFecOpeIni,LinFecOpeFin,LinBarA,LinBarB,LinBarSis,LinFPrtFlu,LinFPrtHis,LinNIntHis,LinFPrtInd,LinFCC,LinPotMaxA->B,LinPotMaxB->A,LinFMax,LinFPri,LinFN-1,LinPotN-1A->B,LinPotN-1B->A,LinVolt,LinR,LinX,LinFPer,LinNTra,LinDisEne,LinFPeaCal,LinPeaSis,LinPeaTip,LinFTipDef,LinFInv,LinFecInv,LinVI,LinCOMA,LinVidUti,LinEmp,LinAux
200484,El Cobre Aux 220->Centinela 220 II,T,MesFeb-2024,*,El Cobre Aux 220,Centinela 220,*,T,T,101,T,F,261,261,T,F,T,261,261,220,6.640900246,31.23078115,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,Mod_74.2
200485,Centinela 220->Esperanza Aux 220 SING I,T,MesFeb-2024,*,Centinela 220,Esperanza Aux 220 SING,*,T,T,101,T,F,150,150,F,F,T,150,150,220,0.635450023,2.98839011,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,7.1
200486,Centinela 220->Esperanza Aux 220 SING II,T,MesFeb-2024,*,Centinela 220,Esperanza Aux 220 SING,*,T,T,101,T,F,150,150,F,F,T,150,150,220,0.635450023,2.98839011,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,7.1
200487,Centro 110->Centro 023 (N-1 SE),T,MesAbr-2023,*,Centro 110,Centro 023,*,T,T,101,T,F,50,50,F,F,T,50,50,110,2.06954528,45.933,T,2,1,T,STx,Cmn,F,F,*,0,10000,30,CNE,110/23-13.8
200488,Pozo Almonte 110->Pozo Almonte 023,T,MesAbr-2023,*,Pozo Almonte 110,Pozo Almonte 023,*,T,T,101,T,F,30,30,F,F,T,30,30,110,2.06954528,45.9334016,T,2,1,T,STx,Cmn,F,F,*,0,10000,30,CNE,110/023
200489,Pozo Almonte 110->Pozo Almonte 066 I,T,MesAbr-2023,*,Pozo Almonte 110,Pozo Almonte 066,*,T,T,101,T,F,90,90,F,F,T,90,90,110,0.286173,19.277209,T,2,1,T,STx,Cmn,F,F,*,0,10000,30,CNE,110/066
200490,Tamarugal 066->Tamarugal 023 I,T,MesJul-2028,*,Tamarugal 066,Tamarugal 023,*,T,T,101,T,F,30,30,F,F,T,30,30,66,2.34815625,41.31532508,T,2,1,T,STx,Cmn,F,F,*,0,10000,30,CNE,66/23
200491,Pozo Almonte 066->Tap Tamarugal 066 I,T,MesJul-2028,*,Pozo Almonte 066,Tap Tamarugal 066,*,T,T,101,T,F,90,90,F,F,T,90,90,66,6.268185302,9.34510545,T,2,1,T,STx,Cmn,F,F,*,0,10000,30,CNE,20.790.001
200492,Tap Tamarugal 066->Tamarugal 066 I,T,MesJul-2028,*,Tap Tamarugal 066,Tamarugal 066,*,T,T,101,T,F,90,90,F,F,T,90,90,66,0.015075,0.022475,T,2,1,T,STx,Cmn,F,F,*,0,10000,30,CNE,0.05
200493,Dolores 110->Tap Chiza 110,T,MesJul-2028,*,Dolores 110,Tap Chiza 110,*,T,T,101,T,F,34.6,34.6,F,F,T,34.6,34.6,110,9.5136,13.3344,T,2,1,T,STx,Cmn,F,F,*,0,10000,30,CNE,32
200494,Dolores 110->Dolores 023,T,MesJul-2028,*,Dolores 110,Dolores 023,*,T,T,101,T,F,15,15,F,F,T,15,15,110,3.630274267,56.64591021,T,2,1,T,STx,Cmn,F,F,*,0,10000,30,CNE,110/23
200495,Tap Cerro Balcon 110->Dolores 110,T,MesJul-2028,*,Tap Cerro Balcon 110,Dolores 110,*,T,T,101,T,F,34.6,34.6,F,F,T,34.6,34.6,110,5.19903588,7.976621043,T,2,1,T,STx,Cmn,F,F,*,0,10000,30,CNE,19.006
200496,Calama 220->Calama 110 II,T,MesAbr-2023,*,Calama 220,Calama 110,BarB,T,T,101,T,F,150,150,F,F,T,150,150,220,0.41,42.146329,T,2,1,T,STx,Cmn,F,F,*,0,10000,30,CNE,220/100
200497,Chinchorro 066->Chinchorro 13.8 II,T,MesJul-2028,*,Chinchorro 066,Chinchorro 13.8,*,T,T,101,T,F,16,16,F,F,T,16,16,66,2.831059688,42.60328341,T,2,1,T,STx,Cmn,F,F,*,0,10000,30,CNE,66/13.8
200498,Maria Elena Aux 220->San Simon 220,T,MesMar-2019,MesAgo-2019,Maria Elena Aux 220,San Simon 220,*,T,T,101,T,F,182.9,182.9,T,F,T,182.9,182.9,220,12.68829924,53.01397501,T,2,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,127.01
200499,Maria Elena Aux 220->Frontera Aux 2 220 I,T,MesSep-2019,MesNov-2024,Maria Elena Aux 220,Frontera Aux 2 220,*,T,T,101,T,F,250,182.9,T,F,T,250,182.9,220,6.033195,27.921222,T,2,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,Mod_67.41
200500,Frontera 220->Frontera Aux 220,T,MesSep-2019,MesNov-2024,Frontera 220,Frontera Aux 220,*,T,T,101,T,F,500,365.8,T,T,T,250,182.9,220,0,0.0001,T,1,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,Mod_Aux
200501,Frontera Aux 220->Lagunas Aux 3 220,T,MesSep-2019,*,Frontera Aux 220,Lagunas Aux 3 220,*,T,T,101,T,F,250,182.9,T,F,T,250,182.9,220,8.842601,40.92296,T,2,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,Mod_71.81
200502,Frontera Aux 220->San Simon 220,T,MesSep-2019,*,Frontera Aux 220,San Simon 220,*,T,T,101,T,F,250,182.9,T,F,T,250,182.9,220,5.2626,24.35496,T,2,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,Mod_58.8
200503,Pozo Almonte CMCC 110->Pozo Almonte 110,F,*,*,Pozo Almonte CMCC 110,Pozo Almonte 110,*,T,T,101,T,F,100,100,T,T,T,100,100,110,0,0.0001,T,5,1,F,STx,Cmn,F,F,*,0,0,30,CNE,Aux
200504,Nueva Pozo Almonte 220->Pozo Almonte Aux 220 II,T,MesFeb-2022,*,Nueva Pozo Almonte 220,Pozo Almonte Aux 220,*,T,T,101,T,F,260,260,T,F,T,260,260,220,0.499121,2.794715,T,2,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,7
200505,Chacaya 110->Chacaya Central 13.8,F,*,*,Chacaya 110,Chacaya Central 13.8,BarB,T,T,101,T,F,20,20,F,F,T,20,20,110,1.382,46.646,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,110/13.8
200506,Tap Mal Paso 110->Mal Paso 13.8,T,*,*,Tap Mal Paso 110,Mal Paso 13.8,*,T,T,101,T,F,0.025,0.025,F,F,T,0.025,0.025,110,1800,7033,T,2,1,T,STx,Cmn,F,F,*,0,10000,30,CNE,110/13.8
200507,Tap Cerro Balcon 110->Cerro Balcon 13.8,T,*,*,Tap Cerro Balcon 110,Cerro Balcon 13.8,*,T,T,101,T,F,0.025,0.025,F,F,T,0.025,0.025,110,1800,7200,T,2,1,T,STx,Cmn,F,F,*,0,10000,30,CNE,110/13.8
200508,Tap Chiza 110->Chiza 13.8,T,*,*,Tap Chiza 110,Chiza 13.8,*,T,T,101,T,F,0.025,0.025,F,F,T,0.025,0.025,110,1800,7050,T,2,1,T,STx,Cmn,F,F,*,0,10000,30,CNE,110/13.8
200509,La Portada 110->La Portada 023 II,T,*,*,La Portada 110,La Portada 023,*,T,T,101,T,F,20,20,F,F,T,20,20,110,3.284,68.97,T,2,1,T,STx,Cmn,F,F,*,0,10000,30,CNE,110/23
200510,El Lince 110->El Lince 023 II,T,*,*,El Lince 110,El Lince 023,*,T,T,101,T,F,15.6,15.6,F,F,T,15.6,15.6,110,1.899,44.471,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,110/23
200511,Tocopilla 005->Tocopilla 023 II,T,*,*,Tocopilla 005,Tocopilla 023,*,T,T,101,T,F,5,5,F,F,T,5,5,23,0.166,6.874996218,T,2,1,T,STx,Cmn,F,F,*,0,10000,30,CNE,005/023
200512,Collahuasi 220->Collahuasi 2 220,T,*,*,Collahuasi 220,Collahuasi 2 220,*,T,T,101,T,F,218,218,F,F,T,218,218,220,0,0.0001,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,Mod_Aux
200513,Lagunas 220->Lagunas Aux 4 220,T,*,*,Lagunas 220,Lagunas Aux 4 220,*,T,T,101,T,F,324,324,F,F,T,205,205,220,0,0.0001,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,Mod_Aux
200514,Encuentro 220->Encuentro Aux 2 220,T,*,*,Encuentro 220,Encuentro Aux 2 220,*,T,T,101,T,F,410,410,T,F,T,266.8,266.8,220,0,0.0001,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,Mod_Aux
200515,Frontera Aux 2 220->Frontera 220,T,MesSep-2019,MesNov-2024,Frontera Aux 2 220,Frontera 220,*,T,T,101,T,F,500,365.8,T,T,T,250,182.9,220,0,0.0001,T,1,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,Mod_Aux
